,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,WinTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxdrawdown,RankWinRatio,RankAverageWinLossRatio,Score
0,SMACross,10,20,0.0001,25.3448,60,19,41,0.3167,379.8889,-170.497,2,6,2.2281,36.0,36.0,31.0,28.0,32.75
1,SMACross,10,21,0.0744,17.4156,56,18,38,0.3214,406.3039,-166.4794,2,5,2.4406,34.0,21.0,29.0,18.0,25.5
2,SMACross,10,22,0.0517,19.8031,53,16,37,0.3019,395.8283,-150.7721,2,6,2.6253,35.0,34.0,32.0,15.0,29.0
3,SMACross,10,23,0.087,18.8647,52,19,33,0.3654,345.2349,-164.9653,2,5,2.0928,33.0,33.0,19.0,33.0,29.5
4,SMACross,10,24,0.1336,18.8647,49,19,30,0.3878,348.4759,-167.6153,2,5,2.079,29.0,31.0,9.0,34.0,25.75
5,SMACross,10,25,0.1284,18.8647,47,18,29,0.383,347.8834,-162.8554,2,5,2.1361,30.0,32.0,12.0,31.0,26.25
6,SMACross,11,20,0.1179,20.0092,62,18,44,0.2903,400.4913,-131.3032,3,7,3.0501,31.0,35.0,36.0,2.0,26.0
7,SMACross,11,21,0.1794,16.5303,57,21,36,0.3684,357.0525,-151.608,4,6,2.3551,22.0,14.0,18.0,20.0,18.5
8,SMACross,11,22,0.2411,15.0147,51,18,33,0.3529,382.6078,-127.7872,3,7,2.9941,10.0,6.0,23.0,5.0,11.0
9,SMACross,11,23,0.2469,15.0147,52,17,35,0.3269,411.533,-129.3448,2,5,3.1817,8.0,7.5,27.5,1.0,11.0
10,SMACross,11,24,0.1888,15.0147,52,17,35,0.3269,396.6238,-138.7128,2,5,2.8593,20.0,4.0,27.5,8.0,14.875
11,SMACross,11,25,0.2272,15.0147,50,18,32,0.36,389.2538,-139.9408,2,4,2.7816,11.0,9.0,21.5,11.0,13.125
12,SMACross,12,20,0.1744,17.1765,64,21,43,0.3281,356.9571,-128.0661,2,7,2.7873,25.0,20.0,25.0,10.0,20.0
13,SMACross,12,21,0.1148,16.9683,60,18,42,0.3,402.5834,-140.5355,2,7,2.8646,32.0,17.0,34.0,7.0,22.5
14,SMACross,12,22,0.2142,15.0147,55,18,37,0.3273,443.0048,-151.8607,2,6,2.9172,15.0,7.5,26.0,6.0,13.625
15,SMACross,12,23,0.2846,15.0147,48,19,29,0.3958,354.7075,-134.2447,3,5,2.6422,3.0,5.0,5.0,14.0,6.75
16,SMACross,12,24,0.1968,15.0145,49,17,32,0.3469,390.5913,-139.4423,2,5,2.8011,17.0,3.0,24.0,9.0,13.25
17,SMACross,12,25,0.2792,15.7594,47,18,29,0.383,427.124,-161.0749,3,7,2.6517,4.0,12.0,12.0,13.0,10.25
18,SMACross,13,20,0.1517,18.5363,64,19,45,0.2969,381.8605,-127.5296,2,7,2.9943,27.0,26.0,35.0,4.0,23.0
19,SMACross,13,21,0.1858,15.3607,63,19,44,0.3016,408.8387,-134.3056,2,7,3.0441,21.0,10.0,33.0,3.0,16.75
20,SMACross,13,22,0.1972,16.7453,58,21,37,0.3621,358.9652,-150.444,3,6,2.386,16.0,16.0,20.0,19.0,17.75
21,SMACross,13,23,0.1922,16.7453,54,20,34,0.3704,352.1705,-150.6359,3,5,2.3379,18.0,15.0,17.0,22.0,18.0
22,SMACross,13,24,0.1764,18.6292,47,18,29,0.383,338.4819,-149.2481,3,5,2.2679,24.0,30.0,12.0,26.0,23.0
23,SMACross,13,25,0.2519,18.6292,46,18,28,0.3913,380.9695,-154.9514,2,5,2.4586,6.0,29.0,8.0,17.0,15.0
24,SMACross,14,20,0.1481,16.3172,72,23,49,0.3194,321.7402,-120.789,3,7,2.6637,28.0,13.0,30.0,12.0,20.75
25,SMACross,14,21,0.2441,14.3886,63,24,39,0.381,330.1923,-140.6149,3,7,2.3482,9.0,1.0,14.0,21.0,11.25
26,SMACross,14,22,0.2165,17.9397,59,22,37,0.3729,360.6867,-155.9507,3,6,2.3128,14.0,22.0,16.0,25.0,19.25
27,SMACross,14,23,0.2471,17.9404,57,22,35,0.386,353.4917,-151.5948,3,6,2.3318,7.0,25.0,10.0,23.0,16.25
28,SMACross,14,24,0.2262,17.9404,50,21,29,0.42,360.1773,-182.8267,3,5,1.97,12.0,23.0,1.0,35.0,17.75
29,SMACross,14,25,0.319,17.9404,45,18,27,0.4,436.0899,-172.5651,3,5,2.5271,2.0,24.0,4.0,16.0,11.5
30,SMACross,15,20,0.1684,14.7422,75,27,48,0.36,294.2916,-130.4553,3,7,2.2559,26.0,2.0,21.5,27.0,19.125
31,SMACross,15,21,0.1901,15.6169,69,26,43,0.3768,313.285,-145.2262,3,6,2.1572,19.0,11.0,15.0,30.0,18.75
32,SMACross,15,22,0.2259,17.0128,61,24,37,0.3934,344.155,-162.1724,3,5,2.1222,13.0,18.0,6.0,32.0,17.25
33,SMACross,15,23,0.3413,17.0128,56,23,33,0.4107,385.8056,-165.4809,3,5,2.3314,1.0,19.0,2.0,24.0,11.5
34,SMACross,15,24,0.2552,18.5799,56,22,34,0.3929,395.4279,-180.8157,3,5,2.1869,5.0,28.0,7.0,29.0,17.25
35,SMACross,15,25,0.1765,18.5799,49,20,29,0.4082,337.7565,-172.0857,3,5,1.9627,23.0,27.0,3.0,36.0,22.25
